,^N225,^GSPC/JPY,BTC/JPY
2020-12-01,26787.5390625,381989.8806460295,1961133.9610020071
2020-12-02,26800.98046875,382710.758166546,2002846.6479100436
2020-12-03,26809.369140625,383018.2353711035,2031227.4335449338
2020-12-04,26751.240234375,384053.74070191383,1941465.7299613953
2020-12-07,26547.439453125,384694.8367989063,1999729.5148015022
2020-12-08,26467.080078125,385026.59956741333,1905362.409089148
2020-12-09,26817.939453125,382469.12566459365,1932112.08392255
2020-12-10,26756.240234375,382480.14502473176,1904527.323344946
2020-12-11,26652.51953125,381666.58274359256,1881412.7531280667
2020-12-14,26732.439453125,379116.47300360166,2000477.0434949696
2020-12-15,26687.83984375,384277.44628123194,2019570.1341160685
2020-12-16,26757.400390625,383567.05362325907,2208502.5347384214
2020-12-17,26806.669921875,385183.6102989502,2359764.1144696623
2020-12-18,26763.390625,382555.1414199136,2386240.973184943
2020-12-21,26714.419921875,382265.33306366205,2359138.4744085073
2020-12-22,26436.390625,381041.43590603024,2457738.160443008
2020-12-23,26524.7890625,382041.4837387353,2406269.4065891504
2020-12-24,26668.349609375,383459.2824200392,2457905.059859276
2020-12-25,26656.609375,383833.28380138427,2556579.5801317394
2020-12-28,26854.029296875,386733.02728625946,2804171.410439819
2020-12-29,27568.150390625,386453.06575689465,2837183.8637709618
2020-12-30,27444.169921875,386486.3273439184,2986740.2101022005
2021-01-04,27258.380859375,382051.38939545304,3300748.3851617575
2021-01-05,27158.630859375,384332.44857788086,3505469.3115234375
2021-01-06,27055.939453125,384851.5131518077,3781052.024686545
2021-01-07,27490.130859375,391881.67287798226,4056162.412515104
2021-01-08,28139.029296875,396963.5336065795,4234383.914382577
2021-01-12,28164.33984375,395810.299954582,3532330.020596683
2021-01-13,28456.58984375,395278.5246132128,3871646.876878023
2021-01-14,28698.259765625,394117.4833913073,4069094.51158607
2021-01-15,28519.1796875,391249.8720397949,3823504.332230568
2021-01-18,28242.2109375,391551.3101902008,3806157.6468429267
2021-01-19,28633.4609375,393958.3657450974,3740547.0611810684
2021-01-20,28523.259765625,400195.6818213016,3693304.6945724487
2021-01-21,28756.859375,399004.67210481875,3192155.292004913
2021-01-22,28631.44921875,397615.1781265028,3416294.263677299
2021-01-25,28822.2890625,400097.70751510747,3358887.136408493
2021-01-26,28546.1796875,399436.5915830508,3379447.665045455
2021-01-27,28635.2109375,388591.0144291967,3152903.057302952
2021-01-28,28197.419921875,394429.09458269924,3485259.7326383293
2021-01-29,27663.390625,387361.8041817285,3578890.2998521924
2021-02-01,28091.05078125,395070.3079189975,3510872.683535546
2021-02-02,28362.169921875,401307.21264424175,3724354.5101257563
2021-02-03,28646.5,402275.08608713746,3935618.6475351453
2021-02-04,28341.94921875,406513.3509087097,3877052.443744689
2021-02-05,28779.189453125,410340.41955144703,4026970.893312067
2021-02-08,29388.5,412703.2012383882,4869107.465021461
2021-02-09,29505.9296875,411500.5026642792,4890277.0638124645
2021-02-10,29562.9296875,408875.6768131107,4697318.912236989
2021-02-12,29520.0703125,412138.02664572,4975705.529931307
2021-02-15,30084.150390625,413389.30573268235,5037059.820084423
2021-02-16,30467.75,414443.87567297556,5185026.866006702
2021-02-17,30292.189453125,417125.9028019309,5533166.0104177
2021-02-18,30236.08984375,414336.7753074933,5470874.9801386595
2021-02-19,30017.919921875,412751.7224620953,5904693.031784236
2021-02-22,30156.029296875,409025.0207633972,5719631.192144573
2021-02-24,29671.69921875,413281.02823222615,5233126.3296587765
2021-02-25,30168.26953125,405695.60720638186,4989311.021435022
2021-02-26,28966.009765625,405426.3070873171,4929577.410058141
2021-03-01,29663.5,415555.5363104772,5285876.104905546
2021-03-02,29408.169921875,413544.35293225944,5169343.176443994
2021-03-03,29559.099609375,407785.6769885961,5395361.822937429
2021-03-04,28930.109375,403444.8530633338,5198861.455191791
